;date;Italy;US;Spain;Germany;Brazil
150;2020-06-20;238275;2255328;245938;190670;1067579
151;2020-06-21;238499;2281767;246272;191272;1083341
152;2020-06-22;238720;2312303;246504;191768;1106470
153;2020-06-23;238833;2347491;246752;192480;1145906
154;2020-06-24;239410;2382426;247086;192871;1188631
155;2020-06-25;239706;2422299;247486;193371;1228114
156;2020-06-26;239961;2467554;247905;194036;1274974
157;2020-06-27;240136;2510259;248469;194458;1313667
158;2020-06-28;240310;2549864;248770;194693;1344143
159;2020-06-29;240436;2590668;248970;195042;1368195
160;2020-06-30;240578;2636414;249271;195418;1402041
161;2020-07-01;240760;2687588;249659;195893;1448753
162;2020-07-02;240961;2742049;250103;196370;1496858
163;2020-07-03;241184;2795361;250545;196780;1539081
164;2020-07-04;241419;2841241;250545;197198;1577004
165;2020-07-05;241611;2891124;250545;197523;1603055
166;2020-07-06;241819;2936077;251789;198064;1623284
167;2020-07-07;241956;2996098;252130;198343;1668589
168;2020-07-08;242149;3054699;252513;198699;1713160
169;2020-07-09;242363;3117946;253056;199001;1755779
170;2020-07-10;242639;3185737;253908;199332;1800827
171;2020-07-11;242827;3245925;253908;199709;1839850
172;2020-07-12;243061;3304942;253908;199919;1864681
173;2020-07-13;243230;3364157;255953;200180;1884967
174;2020-07-14;243344;3431574;256619;200456;1926824
175;2020-07-15;243506;3498902;257494;200890;1966748
176;2020-07-16;243736;3576157;258855;201450;2012151
177;2020-07-17;243967;3647715;260255;202045;2046328
178;2020-07-18;244216;3711413;260255;202426;2074860
179;2020-07-19;244434;3773260;260255;202735;2098389
180;2020-07-20;244624;3834677;264836;203325;2118646
181;2020-07-21;244752;3899211;266194;203717;2159654
182;2020-07-22;245032;3970121;267551;204276;2227514
183;2020-07-23;245338;4038816;270166;204881;2287475
184;2020-07-24;245590;4112531;272421;205623;2343366
185;2020-07-25;245864;4178970;272421;206278;2394513
186;2020-07-26;246118;4233923;272421;206667;2419091
187;2020-07-27;246286;4290337;278782;207112;2442375
188;2020-07-28;246488;4356206;280610;207707;2483191
189;2020-07-29;246776;4426982;282641;208546;2552265
190;2020-07-30;247158;4495015;285430;209535;2610102
191;2020-07-31;247537;4562107;288522;210399;2662485
192;2020-08-01;247832;4620592;288522;211005;2707877
193;2020-08-02;248070;4668172;288522;211220;2733677
194;2020-08-03;248229;4713540;297054;212111;2750318
195;2020-08-04;248419;4771080;302814;212828;2801921
196;2020-08-05;248803;4823890;305767;214113;2859073
197;2020-08-06;249204;4883582;309855;215039;2912212
198;2020-08-07;249756;4941755;314362;216196;2962442
199;2020-08-08;250103;4997929;314362;216903;3012412
200;2020-08-09;250566;5044864;314362;217288;3035422
201;2020-08-10;250825;5094400;322980;218508;3057470
202;2020-08-11;251237;5141208;326612;219540;3109630
203;2020-08-12;251713;5197411;329784;220859;3164785
204;2020-08-13;252235;5248958;337334;222281;3224876
205;2020-08-14;252809;5313252;342813;223791;3275520
206;2020-08-15;253438;5361165;342813;224488;3317096
207;2020-08-16;253915;5403213;342813;225007;3340197
208;2020-08-17;254235;5438325;359082;226700;3359570
209;2020-08-18;254636;5482416;364196;228120;3407354
210;2020-08-19;255278;5529824;370867;229706;3456652
211;2020-08-20;256118;5573847;377906;231292;3501975
212;2020-08-21;257065;5622540;386054;233029;3532330
